carbohydrate,protein,fat,salt
26,12,11,32
25,7,10,737
26,5,6,327
23,10,17,165
37,11,5,976
36,19,21,1017
40,9,10,666
33,14,15,758
59,19,16,736
52,6,3.2,435
58,6,13,638
69,15,12,101
70,22,20,167
69,18,34,308
104,37,27,1025
7,9,11,572
34,86,229,690
14,3,10,720
60,11,12,415
17,3,3,242
33.6,17.5,7.2,1046
30,5,4.9,32
2.09,4.1,3.4,760
2.7,4.66,4.11,121
15,24,6,875
18,7,15,803
50,20,18,152
31,17,27,535
30,12.4,11.3,797
26,5,7,1082
39,5,4.7,228
32,15,14,247
39,6,5,670
37,8,5,63
55,13,9,612
58,10,10,565
55,13,12,345
60,17,21,156
10,6,4.6,429
6,2,2.2,329
4,4,3.9,576
2.56,4,8.07,385
34,59,29,324
5,3,2.1,541
31,5,4.2,91
34,5,12,240
33,5,2.5,823
30,5,5,115
36,5,4.6,152
35,14,8,475
26,12,9,623
63,14,6,277
51,16,11,37
75,11,10.5,416
61,15,11,759
52,19,20,687
77,9,11,392
42,19,11,2
3,3,1.9,684
26,19,5,418
25,4,0.5,449
36,4,3.6,524
29,6,8,577
20.55,5.7,6,51
32,5,2.8,998
29,6,7,525
46,18,18,844
33,16,6,611
42,12,32,74
37,17,26,989
13,4,15,417
31,5,1.8,113
24.5,36,34.7,310
39,4,7,293
15,6,9,466
30,6,2.3,261
30,5,2.3,28
70,9,18,998
36,12,13,812
23,14,11,1063
64,7,25,758
64,0,21,742
60.2,5.2,29.8,598
72,9,15,794
68,7,23,778
67,7,22,31
70,7,21,739
108,10,48,876
73,10,36,646
60,6,29,486
65.3,9,20.6,52
62,5,27,228
120,20,40,852
62,7,27,656
54,7,32,115
48,7,41,1096
68,6.1,24,584
57,3.5,39.3,1074
70,5,17.5,284
20,2,5,226
61,4.8,29.9,1065
66,11,16,649
54,4,39,372
68,6.1,24,466
62,8,25,1034
48,7,41,123
20,2,5,939
78,8,10,382
47,4,18,361
63,7,24,1026
59,8,72,154
62,7,26,44
16,2,4.5,72
21,3,12.5,927
21,4,11,260
18,4,12,902
21,5,7,716
27,3,7,617
16,2.3,2.2,319
24,4,8,778
20,5,14,771
50,5,15,605
18,2,12,774
37,5,17,316
17,4,10,578
38,4.4,15,735
20,3,13,255
23,2.9,7,640
22,2.9,7,344
21,3,16,163
35,4,16,498
26,3,9,34
25,3,17,869
16,2,12,996
23,3,5,262
20.98,1.73,8.17,7
26.88,1.48,4.12,138
29,3,7,132
19,3,10,669
32,3,10,416
21,3,10,399
20,2,12,181
17,2,5,370
45.2,18.5,31.9,795
15,2,9,756
18,1,4.9,577
27,3,26,499
26,3,11,538
33,3,23,345
28,18,50,116
66,5,23.8,844
54,4,33,185
28,3,3.5,191
10,6,22,709
78,11,13,346
44,8,8,871
53,11,3.8,804
62.7,5.9,9.5,813
24,4,3.7,740
29,5,16,418
29,5,16,294
35,6,19,665
39,5,10,546
50,14,17,714
61,6,10,543
36,6,15,184
139,25,34,230
34,9,22,980
23,3,10,855
34,5,23,974
73,21,31,230
98,34,48,450
42,12,9,70
52.5,4.9,1.4,58
49,9,27,774
65,14,12,658
50.1,17,8,1076
52,14,8,999
50,16,10,813
22,6,13,801
39,16,23,769
120,32,112,186
9,2,6,4
10,2,6,221
17,4,10,827
11,2,6,1053
49,20,11,210
29,9,27,1032
44.8,13.3,7,769
45,6,13,520
59,6,13,1099
25,3,7,550
57,9,7,603
58,25,5,596
52,6,17,840
32,6,24,577
96,38,35,667
54,14,17,416
34,7,12,297
14,10,2.7,277
39,8,25,1048
50,10,11,253
43,5,19,309
57,6,12,251
37,5,16,70
39,5,21,419
32,14,11,533
21,3,12,1042
51,5,16,284
36.3,8.4,17.4,906
115,54,35,1094
20,2,12,41
191,39,92,485
41,12,35,248
42,4,10,1022
51,5,10,360
37,4,7,687
35,7,18,928
26,12,11,25
41,12,35,744
54,17,6,48
88,54,43,476
63,9,33,955
23,6,14,252
112,14,44,189
24,3,9,878
14.3,2.94,1.62,12
14.3,2.94,1.62,413
43,11,16,137
39,5,16,849
49,11,19,355
40,6,10,1026
39,11,32,800
26,7,11,723
125,52,44,642
30,10,7,220
121,48,32,206
32,7,7,58
118,59,43,259
23,3,10,568
360,60,120,1100
30,10,11,942
34,6,26,6
49.3,16,14.6,323
35,6,39,132
118,37,55,220
118,48,36,688
20,6,5,353
28,8,7,661
26,11,6,579
60,11,60,307
34,11,8,663
133,11,48,263
130,22,61,333
117,23,56,439
55,10,28,395
78,26,19,38
35,8,20,825
52,15,40,480
25,2,9,415
142,50,38,58
23,11,8,883
131,56,41,117
69,16,71,292
72,18,85,761
54,5,12,235
57,8,19,724
56,6,11,1036
57,15,16,349
4,4,16,54
17,4,13,903
19,3,11,855
14,4,16,797
20,4,35,401
31,5,11,845
26,3,13,753
32,4,11,788
24,3,13,124
37.4,9.1,23.3,305
38,6,26,319
50,6,19,634
26,3,11,290
34,6,22,915
42,5,23,407
152,20,33,813
138,72,63,1025
151,67,55,790
10.55,1.29,4.52,227
118,67,60,786
8.57,1.24,5.1,419
8.7,1.3,5.9,259
126,52,30,550
9,1.35,5.3,889
130,21,65,911
25,7,11,964
152,20,33,859
143,19,43,823
62,15,61,351
72,15,71,319
50,15,68,43
41.11,1.26,20.72,755
33.36,3.85,23.93,400
32.43,3.75,24.43,656
32.35,3.52,24.22,267
31.53,3.56,24.08,1033
38,4,11,735
20.9,3.6,12.5,737
26,9,8,1006
110,38,55,1068
32,9,9,267
5.3,1.1,0.6,547
44.3,9.6,39.5,285
35,6.9,2.8,1070
30,7,15,605
22,3,13,939
38,20,24,948
32,6,11,1053
32,4,6,962
13,2,6,331
65,247,13,383
30.4,7.3,14.1,698
20,2,4.5,689
18,6,4.9,818
42,14,18,641
15,3,7,312
8.7,1.7,1.06,746
32,6,11,240
68,6,15,594
42,5,10,566
60,11,38,404
30,8,4.9,688
23,7,10,565
11,1,4,101
17.4,3.3,3.3,776
9,5,4.3,264
16.58,4.01,12.45,1088
54,11,308,334
23,6,15,123
28.77,13.86,14.22,269
5.45,16.64,10.87,221
35,7,11,139
22,4.4,13.2,527
27,8,10,427
25,16,15,154
42,4,9,947
28,5,8,551
14,4,11,514
15,5,6,990
26,8,14,999
26,8,14,359
33,4,7,707
37,4,7,749
80,32,50,876
5.45,16.64,10.87,685
28,6,13,161
38,16,16,874
40,7,34,906
10,2,3.3,714
18,5,11,630
24,7,12,654
47,19,13,415
34,7,16,384
11,1,4,787
64,9,35,468
27,8,10,1060
16,4,7,885
12,1.3,7,425
26,7,16,578
18.2,4.2,14,900
54,14,12,361
46,11,11,644
36,5,19,659
17,4,21,28
24,6,13,769
15,3,7,102
17,3.5,8,558
13,1,3.3,672
14.3,2.94,1.62,550
61,13,4.6,1097
17,2,7,395
24,6,28,154
54,9,3.2,157
12,1,3.5,934
13,3,2.2,1084
48.1,13.2,6,449
11,2,9,208
13,8,27,382
26,7,11,1016
11,2,2.3,239
22,2,4.9,206
15,5,18,708
52,10,35,624
15,4,19,738
19,5,18,713
31,4,23,34
15,6,9,895
17,4,13,61
15,2,4.4,598
34,6,22,702
55,13,13,726
12,2,3,303
13,2,5,865
34,12,8,192
30,8,17,251
22,4,25,697
34,5,18,324
33,7,14,282
44,8,13,991
34,4,8,657
16,6,27,278
22,4,26,851
25,5,18,996
37,6,13,763
31,7,14,498
38,5,9,718
20,4,17,978
20,6,17,867
42,9,22,94
4,7,17,719
43,6,27,44
44,8,13,86
38,5,9,893
34,4,8,431
23,6,20,1050
47,8,17,223
27,6,16,113
31,9,9,679
24,11,6,482
31.5,8.3,16.3,333
25.96,4.52,24.83,6
8,8,18,759
37,6,13,569
27,6,16,143
43,6,9,350
17.08,5.7,31.89,824
23,4,23,152
41,6,26,966
46,7,9,434
36,10,14,849
26,5,21,694
41.99,7.71,15.44,934
30,8,17,674
41,9,8,752
36,5,14,581
32,7,16,782
28,5,17,150
38,5,20,681
29,6,20,253
20,5,32,407
19.09,13.12,6.5,1009
9,4,26,834
30,6,3.1,496
44,9.3,7,292
40,6,22.5,1
45,7.5,16,857
46,7,7,658
53.45,3.8,14.64,144
43,9,20,615
46,10,21,953
39,10,14,1053
35,14,11,886
47,6,5,304
21,6,28,348
43,9,21,885
26,7,26,1017
52,6.6,16,152
54,5,16,919
31.6,7,27.2,283
21,2,17,1006
32,3,1,172
13,2,2.8,567
40,14,18,119
57,11,22,277
52,10,18,321
67,6,23,170
65,7,24,72
66,5,24,545
37,3,59,299
66.2,9.34,19.5,47
35,4,12,772
37,5,21,382
43,4,9,559
37,5,21,626
52,6,38,61
62,8,21,665
61,8,27,1021
66,4,15,372
68,5,24,874
59,5,28,632
43,4,9,180
35,4,12,515
62,6,27,995
56,4,41,766
65,3,28,24
79,7,12,622
78,5,13,986
22.4,2.3,4.1,1012
22,2,4.2,713
52,5,12,210
17.9,1,0.3,852
22,2,5,155
16.8,2,7,470
8,2,8,607
38,4,13,1008
19,2.7,7,669
22,1.3,6,993
12,2,8,398
11,0.7,4.1,325
19,2,8,797
38,4,17,1073
19,2,10,696
19,2,2,671
9,0.7,7,245
17,2,10,132
19,3,8,936
12,2,6,192
19,2,7,902
18,3,8,1070
15,2,12,234
16,2,11,969
29,3,14,51
12,12,4.4,155
22,2,5,213
21,3,4,343
18,2,4,495
24,2.8,11,828
22,2,7,836
33,3,9,382
25,2,1.1,1081
41,4,13,912
29.4,3.1,0.1,559
47,8,23,620
21,5,13,403
47,4,7,163
45,4,18,28
18,2,3.3,254
39,8,24,660
52,6,2,633
22,3,17,154
33.1,2.9,1.7,932
18,1,0,509
11.36,1.2,3.4,728
11.38,1.26,3.73,65
38,2,12,725
47,5,23,1040
37,4,27,189
38,2,12,784
39,4,19,104
28,3,12,639
10,3,6,529
11,2,6,636
47,6,16,299
46,6,15,633
42,4,11,108
3,7,38,109
26,2,0.6,833
38,4,17,867
13,1.7,5.5,778
10.8,32,6,402
13,2.7,14.8,289
15,2,13.8,34
45,6,6.2,380
39,6,12,12
66,8.3,20.8,490
42,4,2,158
26,2,1.2,555
35,2.7,1.5,1028
21,5,11,426
53,4,21,20
19,2.6,6.5,634
32,7,17,898
44,4,29,195
40,5,14,1041
39,5,15,620
23,3,12,711
73,7,18,374
28,3,13,489
94,8,57,1047
48,6,19,911
64,7,16.4,652
54,2,1.8,1043
43,4,21,472
40,4,18,220
31,3,18,718
44,5,15,606
19,2,6,424
97,16,43,421
16,2,1.4,208
19,2,3.5,826
20,2,2.4,119
16,2,1.4,176
14,1,8,185
12,1,10,806
32,14,2.3,233
26,2,0.6,86
24,3,7,840
26,1.8,0.45,604
37,2,10,1062
39,1,8,572
41,4,1.3,336
39,6,13,289
33,1.5,9,621
27,1.2,11,541
19,3,11,227
19,1.6,8,708
19,1.6,8,413
56,8,31,915
34,5.3,19,327
41,6,10,462
51,4,20,423
15,3,10,900
55,9,34,911
37,4,18,827
37,4,18,895
50,4.4,1.6,704
50,4.4,1.6,743
27.6,2.8,2.1,1004
41.6,3.6,1.3,312
14.2,2.1,11.2,457
25,4,9,919
23,2,14,298
20,9,2,847
4,2,1.8,949
3,3,1.5,553
5,4,4.1,872
3,2,2,727
13,6,10,6
4,3,2.4,368
8,7,9,46
2,2,2.1,904
6,7,5.1,546
3,3,1.2,123
8,8,8,1024
4,3,1.8,207
13,6,10,809
4,2,1.6,490
5,4,7,602
8,7,9,323
4,4,4.2,231
1,2,0.9,687
3,3,1.2,706
2.1,1.9,2.1,76
5,7,1.2,235
4,2,1.8,192
4,3,3.6,192
4,3,4.4,1080
4.5,2,2,895
2,2,2.6,240
4,3,1.4,47
4,3,0.6,388
8.7,3,3.4,557
9,3,3,979
11,3,3,482
12,2.8,0.7,497
8,3,3,638
12,3,2.5,980
59.7,16.9,19,466
45.8,21.1,18.4,674
70,22,20,273
71,13,8,1
80,16.8,23,941
28.64,7.23,20.63,20
71.2,31.4,15.8,201
41.76,42.02,46.69,387
28.4,4.7,7.8,1001
34,8.8,10.5,454
27.6,7.5,5.9,970
68,9,29,268
47,12,17,185
21,11,7,770
22,11,6,945
28,9,29,84
27,6,14,453
86,16,60,37
50,25,19,69
65,25,10,54
22,2,15,727
21,5,14,621
29,6,23,521
31,4,21,704
13,2,4,1076
46,8,3,307
33,7,31,155
34,7,17,1062
62,11,5.1,705
58,5,13,220
51,5,10,501
24,5,18,919
19,5,20,813
128,52,44,940
136,84,48,37
28,5,25,559
17,4,21,86
13,5,15,757
42,7,6,51
47,8,30,376
136,84,48,20
36,5,24,848
25,4,19,317
13,0.7,2.3,249
37,11,5,28
52,11,10,905
51,13,23,139
49,7,7,24
32,10,6,807
30,11,10,661
12,2,14,626
34,9,28,938
62,15,18,516
18,2,12,234
17,2,5,615
18,2,7,1025
22,2.9,7,854
32,3,7,316
23,2.9,7,199
29,3,7,557
23,4,13,762
18,2,7,742
37,5,17,159
16,2,12,295
46,5,18,163
13,2,7,818
21,3,4.4,398
17,4,11,426
20,5,14,777
40,5,20,533
13,2,7,534
20,4,12,857
21,4,11,795
16,2,6,724
21,2,3.9,1093
17.08,5.7,31.89,207
47,4,7,1044
40,4,11,981
51,5,10,787
26,8,14,256
57,6,15,92
26,12,11,622
27,6,18,771
35,7,18,1013
38,4,7,582
31,5,3.1,950
31,8,3.3,1083
31,7,3.3,996
26,3,2.1,38
32.7,4.3,0.6,942
24,5,2.1,633
28,11,6,536
43.07,4.25,1.66,961
38.64,10.92,2.25,804
39.8,4.6,1.7,149
40,5,2.9,589
63,9,16,36
82,11,17,1029
66,9,12,425
72,10,17,184
84,13,18,26
87,10,16,112
69,7,17,1017
18,9,6,363
5,4,3.6,179
3,3,1.5,869
4,3,2.4,641
5,2,3.7,906
6,7,5.1,1044
8,7,7,748
2,3,1.4,892
8,7,9,153
7,5,6,190
2,2,2.2,842
8,7,9,776
13,6,10,1091
15,10,3.3,617
15,6,4.4,805
4,3,2.9,553
3,3,3,324
3,3,1.2,719
18,9,6,973
2.1,1.9,2.1,481
6,5,2.2,855
7,4,1.5,375
21,4,4.7,905
14,1,5,432
12,2,6,247
22,3,3,705
20,2,7,239
19,2,8,842
21,2,8,456
23,3,12,581
26,3,16,1100
44,5,15,641
30,3,24,224
55,7,24,962
55,8,26,736
66,8,22,1079
66,5,24,107
63,7,28,178
11,11,19,1074
3,14,25,116
11,15,11,351
4,13,25,412
2,4,3,765
2,10,20,468
2,9,19,223
4.9,17.7,15.7,1089
2,13,30,958
3,13,22,781
3,17,17,992
21,1,6,1089
15,2,10,127
20,1,5,220
15,2,9,974
29,3,26,831
29,8,9,1033
49,24,32,977
1,4,5,1011
0,25,25,1026
0.23,5,3.7,478
2,2,4.7,90
3,3,5,755
1,4,3.2,1047
8,18,14,1022
40,23,39,337
37,7,36,1087
154,40,105,516
38,8,18,1046
191,39,92,869
45,12,21,814
13,34,23,332
6,14,19,533
68.24,6.08,22.23,346
37.2,8,21.9,871
28.82,5.87,21.32,54
5.39,28.02,16.89,941
6.17,18.76,21.3,482
1.9,13.3,4.5,911
5.52,6.15,34.44,949
13.91,28.42,27.84,355
2.34,21.4,28.74,611
0.45,20.75,27.68,200
0.46,19.8,24.26,546
2.22,24.94,27.44,490
2.79,23.24,29.68,422
6.7,7.1,11.5,65
24.8,7.4,9.9,261
21.55,8.66,10.38,617
5,6,32,683
2,13,30,583
6,24,22,788
11,4,26,985
23,4,17,785
1,5,5.8,289
12.35,20.07,18.75,1038
2,5,3,891
0.1,4,5,197
4,3,2.4,178
4,3,2.4,604
0.6,3.8,5.5,449
1.6,25,27,918
2,2,2.1,1069
5,3,1.7,737
2,3,1.4,273
15,10,3.3,922
4,2,1,169
23,3,10,77
25,3,6,699
20,15,15,721
25,3,6,358
11,11,19,437
2,13,30,646
1,3,4.8,42
5.83,0.56,2.01,672
5.14,0.64,1.93,425
5.76,0.63,2.34,714
5.46,0.64,2.57,208
5.14,0.64,2.57,302
5.67,0.63,2.43,392
5.86,0.65,2.19,810
127.17,19.56,68.48,184
6,0.6,2.1,506
5.17,0.54,2.47,335
5.14,0.39,3.21,891
5.22,0.94,1.69,212
5.45,0.71,2.61,187
5.03,0.55,2.94,1087
4.82,0.64,2.57,696
4.86,0.76,2.92,734
5.57,0.67,2.5,1086
5.67,0.67,2.67,1000
4.92,0.82,2.81,873
4.95,0.81,2.79,306
5.09,0.84,2.87,890
5.06,0.84,2.81,1036
1,0,0,599
5.85,0.99,1.01,339
5.6,0.6,2,1056
5.4,0.9,2.1,944
5.76,0.36,2.34,269
17.71,1.74,7.58,232
5.4,0.9,2.7,468
5.44,0.36,2.34,1070
4.79,1.03,2.61,117
4.36,0.94,2.65,816
4.78,0.59,3.29,186
5.22,0.54,2.52,219
5.25,0.75,2.62,377
5.94,0.63,1.98,410
5.61,0.61,2.46,536
6.09,0.69,2.08,407
6.15,0.48,1.17,591
2.7,25.42,8.77,724
5.1,0.9,2.4,853
5.7,0.9,2.4,975
5.84,0.79,1.89,1065
7.07,0,0.64,622
5.98,0.76,1.94,985
7.81,0.66,0.36,724
5.4,0.9,2.25,159
5.89,1.08,1.44,341
3.9,0.6,3,309
5.1,0.6,3,294
6,0.86,1.71,307
4.5,0.6,2.7,978
6,0.6,2.1,92
6.6,0.6,1.5,159
6.46,0.94,1.02,993
22.75,3.15,19.25,729
0.9,0,0,285
6.07,0.59,2.03,803
6.06,0.61,2.01,926
2.1,0.27,1.49,546
5.14,1.07,1.71,483
5.14,0.64,2.25,1093
5.79,0.55,2.57,280
4.18,0.58,3.54,614
6.3,0.9,1.47,347
5.91,0.84,1.69,1098
4.65,1.17,2.43,603
4.82,0.32,2.89,595
4.8,1.2,2.7,565
4.5,0.32,3.21,375
3.21,0.96,4.18,822
0.64,0.09,0.27,430
4.8,0.6,3.3,252
4.8,0.6,3.3,432
6.85,0.69,1.11,787
0.79,0,0.07,635
31,3,11,711
5.79,0.64,2.25,667
6.84,0.65,2.52,185
5.94,0.45,2.25,903
5.76,0.54,2.09,900
6.11,0.64,1.61,862
2.71,0.29,0.71,1006
11.27,0.49,2.06,424
4.82,0.32,2.89,698
4.82,0.32,2.89,546
4.68,0.36,2.88,761
5.04,0.5,2.88,534
6.3,0.3,1.8,280
5.65,0.31,2.3,712
6.3,0.3,1.8,539
6.35,0.32,1.8,521
6.3,23.85,28.8,974
6.03,0.63,1.98,798
66.15,28.35,24.52,50
5.61,0.61,2.46,587
3.31,0.25,2.51,478
4.82,0.32,3.54,1075
26,3,16,43
37.69,3.97,8.93,761
28.42,2.94,4.41,320
19.45,6.08,14.59,319
16.9,5.2,18.2,921
24.32,3.65,19.45,440
37.19,4.02,11.06,469
32.94,5.53,13.79,82
33.63,3.48,6.96,773
39.58,4.71,9.42,126
39.2,4.02,8.04,1030
38.27,4.64,8.12,60
18,2,3,384
38.77,4.31,9.69,433
17.38,1.93,2.9,857
39.58,4.71,8.48,725
22.1,2.4,9.61,159
42.57,4.37,6.55,1025
40.39,4.37,3.93,564
24.5,3.43,4.41,1000
26,3,16,359
31.39,3.83,5.36,579
34.79,5.8,10.44,731
30.52,2.71,6.1,318
20.1,5.03,17.59,494
35.22,3.06,5.36,736
39.2,4.02,8.04,673
40.74,4.94,7.41,666
0.76,1.18,1.28,947
1.29,0.77,0.98,662
41.34,5.89,10.82,124
0.08,0.8,1,926
0.08,0.8,1,614
0.12,0.8,1.04,694
0.04,0.76,1.08,163
0.08,0.76,0.92,77
0.5,0.7,0.4,817
32.25,4.27,2.68,489
7,3,16,750
57.78,22.96,22.27,630
67.16,17.99,16.52,512
1.07,0.8,0.6,374
1.47,0.8,0.28,623
84,16,18.8,967
0.12,0.92,0.96,105
0.14,0.24,1.43,105
0.33,0.22,0.81,649
0.09,0.28,1.37,785
0.09,0.28,1.35,85
0.2,0.8,1,220
0.2,1,0.9,128
0.13,0.73,1.19,1095
0.14,0.75,1.19,244
0,0.67,1.11,296
0,0.67,1.11,511
0,0.67,1.11,662
0.2,0.4,0.88,150
0.2,0.4,0.88,1008
0.16,0.64,0.96,688
0.16,0.68,1.12,984
0.18,0.68,1.08,431
0.1,0.92,0.96,936
0.1,0.61,1.08,245
0.23,0.75,0.95,182
0.18,0.76,1.04,963
0.21,0.76,1.08,910
0.22,0.72,1.04,1048
0.02,0.68,1,815
0.08,0.68,1.12,238
0.01,0.68,1.12,85
0.22,0.67,1.11,978
0.32,0.68,0.64,939
0.32,0.68,0.64,618
0.08,0.8,1.08,573
0.22,1.11,0.44,685
0,0.67,1.02,1038
0,0.67,0.71,34
0,0.67,1.11,364
0,0.8,1,24
0,0.67,1.11,579
0.2,1,0.86,557
19,3,11,535
23.75,3.75,12.5,237
21.51,2.7,13.35,615
26.32,3.16,7.37,613
18.95,2.11,9.47,711
26,3,14,755
28,4,9,450
18.89,1.11,2.78,508
24.38,2.38,7.12,912
32,3,7,125
0.09,0.8,0.84,1068
0.09,0.84,0.88,284
0.04,0.76,1,1019
0.04,0.76,1,996
0.04,0.84,1.08,171
0.04,0.76,0.96,514
0.04,0.76,0.96,654
0.04,0.76,1.12,270
0.04,0.8,1.12,673
0.04,0.76,1.04,272
0.04,0.92,0.92,136
14,6,4.2,103
16,10,3.5,228
25,2,1.9,70
27,1,0.2,973
83,11,3.3,160
76,12,8,57
13,9,14,17
21.6,2.31,4.2,597
12,2,9,207
17,2,8,499
5,0.7,2.7,550
61,4,30,564
65.8,3.6,27.8,627
68.1,4.4,25,585
84,7,2,330
73,16,2.6,173
15,1,2,953
16,10,3.5,50
15,5,4.5,492
16,2,8,452
16,1,1.5,468
18,0.7,0,338
16,1,1.5,667
16,1,1.5,858
14,0.7,2.5,205
16,0,1.2,660
17,5.5,3,150
25,2,1.9,883
26,2,1.3,97
27,1,0.2,1099
24.9,1.8,1.8,740
23.4,1.5,1.8,78
25.2,1.8,1.5,782
27,2,0,1097
23,2,3,1049
24,2,2.2,818
26,2,1.3,962
26.1,1.5,0.75,415
22.5,4.8,0.8,657
36,1.6,0.3,764
21.5,3.4,5.8,821
31,2,4,967
31.6,2.4,0.7,389
24,1.5,2.3,540
14,2.4,4.2,744
26,1.9,0.1,1034
26,2,0.2,958
26,2.1,0.1,1083
26,1.8,0.1,392
26,1.7,0.3,1033
25,2.4,0.7,120
25,1.7,0.7,214
25,1.8,0.6,372
25,1.9,0.5,70
14,6,4.2,824
17,4,4.1,881
16,10,3.5,300
12,2,9,890
15,2,8,185
17,2,8,458
78.18,7.3,9.29,819
88.05,5.11,0.59,187
85.33,6.8,2.79,417
80.93,5.56,9.75,343
84.66,5.81,3.65,255
86.99,6.65,1.68,224
85.78,6.08,4.34,606
7.56,0.9,0.09,1024
8.01,0.45,0.05,560
7.92,0.54,0.18,352
7.92,0.54,0.05,740
7.93,0.46,0.31,250
1.3,0.1,0.07,1033
7.59,0.68,0.39,381
7.47,0.72,0.34,412
8.1,0.36,0.14,713
8.01,0.45,0.18,678
7.2,0.63,0.72,997
7.83,0.36,0.45,755
7.83,0.63,0.05,933
7.64,0.59,0.08,82
6.67,0.86,0.86,745
7.51,0.58,0.31,288
7.19,0.58,0.11,1029
7.56,0.63,0.18,1036
8.19,0.27,0.05,896
4.8,2.49,1.53,362
4.8,0.69,1.5,916
5.4,0.6,1.44,1037
1.36,0.16,0.69,1082
5.78,0.61,2.4,822
5.63,0.61,2.54,286
36,8,9.2,911
54,17,15,534
23.2,5.8,9.1,171
23,2,3.8,679
21,5,10,469
24,2.4,3.1,918
20,2,5,843
5.85,14,2.78,716
22.6,9,6.9,1064
20,6,10,867
19,6,8,914
19,6,8,1013
22,4,10,885
20,6,10,239
20,2,5,917
11.81,3.31,5.36,18
8.67,9.95,7.1,585
4,11.68,13.23,1010
5.7,14.2,6.9,335
0.4,7.6,4.1,812
0.3,9,3.1,1062
1,5,3,387
47,15,14,425
58,14,10,188
46,29,9,668
20,10,28,761
52,15,11,485
76,13,9,1018
48,17,7,560
3,1,1,326
52,20,7,1011
41,26,7,633
4.9,1.9,0.7,519
3,7,3,234
1,4,1,996
52,13,8,387
73,9,9,976
2,7,6,1070
50,17,5,522
5,6,1.5,608
3,4,3.7,677
1,3,2.4,907
74,12,9,542
74,11,14,89
85,12,9,993
75,12,13,757
84,12,11,301
47,2,0.8,862
92,15,8,381
5.16,1.62,0.74,661
80,29,11,693
2.83,2.99,2.24,32
1.79,6.98,3.18,736
53,18,7,1065
42,14,9,741
22,9,28,357
36,13,22,1008
36,13,22,531
18,8,13,423
38.92,21.36,6.27,1019
49,21,7,363
40,6,2.4,1054
45,25,18,200
49,14,16,978
65,14,9,892
61,17,14,1046
65,11,16,276
35,4,8,845
25,11,25,738
28,3,6,1055
26,8,6,946
23,8,5,309
27,6,4.8,190
52,18,7,16
54,23,6,437
63,16,12,328
64,18,19,1092
13,23,60,786
36.13,11.05,4.28,432
32,84,228,512
32,84,228,201
26,3,8,368
33,6,6,752
31,8,4.9,979
45,6,8,952
39,13,6,93
59,14,7,599
61,16,20,209
55,16,6,756
70,32,10,558
10,10,37,536
53,14,10,465
41,8,7,527
26,5,9,611
34,5,2.6,951
28,6,5,197
40,9,4,76
18,3,2.1,193
50,16,12,218
45,21,8,408
1.62,5.15,1.82,76
17,8.41,2,100
1,2,1.1,247
37,8,4.7,107
22,5,13,746
54,9,2.2,875
43,14,6,891
6,1,1,351
60,12,16,163
57,7,3.7,589
3,2,0,992
66,12,14,363
67,11,13,579
52,5.9,39.1,843
72,6,17,369
18,2,7,984
21,3,9,977
39,3,17,871
12.8,1.7,4.4,794
56,2,1.6,599
24,4,8,501
61,6,21,824
61,5,21,307
40,4,18,286
31,4,12,359
44,4,14,330
37,3,8,216
0,12.78,0.05,810
1.37,16.46,32.16,357
2.7,3.7,2.9,831
3.3,6.2,7.1,984
95.3,14.4,17.5,242
63,17.2,29.3,485
1.4,17.2,13.2,407
3.1,9.4,8.3,469
8.1,12.7,21.6,1060
8.7,9.8,7.1,519
7.6,16.5,12.6,196
0.9,10,8.1,1048
49,14,16,23
60,12,16,456
70,10,12,140
41,8,7,601
36,4,4.3,936
22,5,13,277
18,10,0.1,253
6,3,1.2,913
27,2,4,504
52,4,10,670
57,5,13,122
24,4,8,265
53,10.6,2.1,96
3.41,12.44,7.37,136
4.47,82.4,0.04,401
2.19,13.94,7.97,258
1.03,10.87,0.02,1061
9.32,14.7,23.45,72
3.79,15.12,13.46,568
3,12,8,993
52,4,10,496
36,4,1.5,450
0.57,0.1,0.27,1023
6.01,0.58,1.9,481
0.78,0.04,0,422
0.78,0.04,0,94
0.77,0.07,0,968
2.94,3.84,1.66,992
1.01,4.18,2.81,621
1.01,4.18,2.81,752
46.6,16.8,19.5,653
29.82,13.22,28.55,806
31.11,3.11,2.67,337
0.6,0.9,0.96,939
38.94,7.21,6.49,63
38.68,7.16,6.45,673
10.77,1.54,0,1078
12,4,3,1056
38.25,2.25,0,565
33.75,4.5,0,614
17,4,2.5,393
17,4,2.5,508
38.25,9,4.5,939
16,4,3,989
16,4,3,203
7,1,0,718
7,0.7,0,347
16,2.5,0,475
36,8.4,5,333
36,8.4,5,950
36,8.4,5,610
11,1,0,474
11,1,0,498
17,5,4,735
18,5,4.5,132
15,5,4,523
17,5,4,463
18,5,4.5,26
16,5,5,135
14,5,4,454
40,5,0,216
8,1,0,871
8,1,0,754
8,1,0,72
6,1,0,1013
8,1,0,142
8,1,0,244
8,1,0,600
17,1,0,863
13,2,0,647
12.05,3.13,8.43,470
9,1.5,0.4,1020
27,4.7,1,571
3,0.7,0,532
33.75,2.92,0,111
28.8,8.77,0,185
30.83,8.77,0,834
40.5,7.43,6.07,143
34.42,7.43,6.07,446
38.92,7.43,6.07,452
40.5,9,9,621
40.5,9,9,650
18.2,3.6,1.8,170
18.2,3.6,1.8,361
18.2,3.6,1.8,113
17.3,3.6,1.8,273
