carbohydrate,protein,fat,salt
46,10,18,952
37,11,21,803
47,8,17,1070
35,8,9,897
49,13,7,922
56,15,21,1045
41,10,20,876
55,17,13,954
37,8,12,1068
41,11,21,898
44,10,30,846
40,13,16,1001
33,16,21,894
54,14,22,1028
25,5,12,920
23,7,22,859
35,16,21,1012
30,9,18,849
36,9,14,882
37,9,20,1008
36,11,25,1025
41,11,14,928
45,12,18,1039
34,9,37,1055
28,15,22,874
30,11,44,968
46,15,16,815
21,7,8,926
29,4,13,861
37,9,14,914
38,12,9,970
39,9,14,1025
39,7,13,862
30,6,31,895
42,16,23,919
53,9,12,809
46,10,16,1065
34,10,19,963
27,14,13,1033
37,9,32,1069
43,11,20,994
35,17,25,874
41,10,16,907
48,18,26,969
59,16,33,804
40,11,22,950
34,10,13,1093
36,13,22,948
36,13,22,1032
43,9,13,1005
38,14,15,859
43,11,23,1067
26,14,23,851
42,14,20,1081
40,13,26,1011
32,23,20,862
42,10,23,1048
47,16,26,884
42,21,13,1057
24,3,10,966
24,4,10,869
37,9,11,959
30,8,8,1096
30,8,12,1068
36,12,18,906
36,8,14,1092
32,16,22,844
49,12,18,851
38,14,21,904
40,9,10,1038
38,15,21,1080
48,16,22,977
27,19,45,1085
54,26,26.24,928
36,4,36,1095
25,10,10,855
38,9,13,882
32,12,11,864
36,11,12,832
38,10,23,874
35,8,27,908
33,16,26,909
39,14,14,978
40,22,9,901
36,13,17,824
36,16,14,956
32,11,13,844
25,11,25,1035
37,8,8,981
33,17,9,897
29,9,29,937
41,14,16,829
37,13,24,925
49,12,16,895
23,10,17,943
33,23,10,996
36,19,21,928
33,14,15,1007
31,12,21,1061
40,14,13,917
38,15,17,817
34,86,229,829
13,23,60,1085
68,89,256,1095
54,56,241,1001
24,10,19,982
50,11,11,844
53,15,23,1081
52,10,18,961
41,8,13,856
31,9,24,853
32,8,31,854
40,12,19,1027
41,10,25,893
30,8,21,1021
42,8,12,1058
46,17,15,943
39,11,19,954
42,13,21,1011
27,10,14,964
38,8,17,832
42,11,17,838
29,10,30,1000
42,11,23,1034
29,9,13,941
21,8,9,1076
21,8,13,949
27,9,11,1059
42,8,12,1074
44,10,12,860
28,6,13,910
22,7,12,1056
25,11,19,1039
68,11,23,1063
43,4,13,914
56,18,25,1080
59,16,42,917
2.7,19.12,19.12,1353
10.8,21.83,10.8,1406
2.47,11.48,3.83,1474
2.92,18.45,4.95,1394
3.38,15.52,13.95,1455
4.05,13.05,15.75,1478
